City_Rank_by_Population(2021),State,State_Abbrieviation,City,Observation_Date, Median_Typical_Rental_Rate ,Link
39,Nebraska,NE,Omaha,1/1/2018, $999.19 ,https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2018," $1,357.25 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2018," $1,258.15 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2018," $1,387.35 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2018," $1,804.56 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2018," $2,123.28 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2018," $2,674.99 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2018," $1,469.13 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2018, $915.80 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2018," $1,354.56 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2018, $785.53 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2018," $1,278.55 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2018," $1,466.05 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2018," $1,436.43 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2018," $1,415.90 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2018," $1,038.45 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2018," $2,017.81 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2018," $1,946.90 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2018," $1,311.48 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2018," $1,414.75 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2018," $1,019.69 ",https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2018," $1,161.90 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2018," $1,773.64 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2018," $2,318.88 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2018," $1,457.94 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2018," $2,414.27 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2018, $950.34 ,https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2018," $1,371.52 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2018," $1,266.90 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2018," $1,141.17 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2018, $997.82 ,https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2018, $941.84 ,https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2018, $963.09 ,https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2018," $1,387.49 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2018," $1,456.93 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2018," $1,255.21 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2018," $2,613.04 ",https://www.zillow.com/research/data/
1,New York,NY,New York,1/1/2019," $3,024.77 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2019," $2,563.58 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2019," $1,765.87 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2019," $1,385.59 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2019," $1,264.82 ",https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2019," $1,487.69 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2019," $1,197.99 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2019," $2,395.42 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2019," $1,464.61 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2019," $2,909.29 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2019," $1,481.50 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2019," $1,231.02 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2019," $1,352.01 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2019," $1,129.61 ",https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2019," $1,014.81 ",https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2019," $1,398.69 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2019," $3,514.05 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2019," $2,092.39 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2019," $1,701.03 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2019," $1,009.12 ",https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2019," $1,456.03 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2019," $1,092.18 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2019," $2,321.94 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2019," $2,664.39 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2019," $1,337.00 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2019," $1,621.46 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2019," $1,010.51 ",https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2019," $1,042.52 ",https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2019, $964.22 ,https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2019," $1,388.78 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2019," $1,045.64 ",https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2019," $1,108.96 ",https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2019," $1,441.53 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2019," $1,120.24 ",https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2019," $1,663.95 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2019," $1,231.42 ",https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2019," $1,022.23 ",https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2019," $1,633.37 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2019," $1,037.57 ",https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2019," $1,433.02 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2019," $1,320.22 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2019," $1,431.27 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2019," $1,903.04 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2019," $2,155.34 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2019," $2,793.36 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2019," $1,519.73 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2019, $941.04 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2019," $1,433.49 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2019, $802.49 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2019," $1,353.69 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2019," $1,523.15 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2019," $1,497.99 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2019," $1,451.55 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2019," $1,068.15 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2019," $2,123.70 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2019," $1,988.85 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2019," $1,398.86 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2019," $1,493.25 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2019," $1,051.04 ",https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2019," $1,175.22 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2019," $1,838.50 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2019," $2,407.75 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2019," $1,517.29 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2019," $2,471.00 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2019," $1,011.89 ",https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2019," $1,491.74 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2019," $1,315.01 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2019," $1,180.28 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2019," $1,060.08 ",https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2019, $976.94 ,https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2019, $984.46 ,https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2019," $1,432.16 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2019," $1,475.49 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2019," $1,323.60 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2019," $2,686.96 ",https://www.zillow.com/research/data/
1,New York,NY,New York,1/1/2020," $2,984.62 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2020," $2,524.04 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2020," $1,767.17 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2020," $1,369.70 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2020," $1,328.33 ",https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2020," $1,504.69 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2020," $1,208.55 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2020," $2,430.52 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2020," $1,462.06 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2020," $2,875.39 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2020," $1,468.78 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2020," $1,253.23 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2020," $1,388.50 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2020," $1,179.55 ",https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2020," $1,072.32 ",https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2020," $1,409.09 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2020," $3,470.00 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2020," $2,101.61 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2020," $1,701.82 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2020," $1,029.71 ",https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2020," $1,479.53 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2020," $1,143.14 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2020," $2,316.82 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2020," $2,689.75 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2020," $1,362.90 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2020," $1,632.83 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2020," $1,044.12 ",https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2020," $1,077.19 ",https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2020," $1,025.82 ",https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2020," $1,400.15 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2020," $1,070.66 ",https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2020," $1,146.94 ",https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2020," $1,501.83 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2020," $1,166.41 ",https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2020," $1,722.45 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2020," $1,294.60 ",https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2020," $1,073.39 ",https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2020," $1,646.67 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2020," $1,076.16 ",https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2020," $1,487.82 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2020," $1,340.32 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2020," $1,455.65 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2020," $1,940.74 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2020," $2,177.52 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2020," $2,781.96 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2020," $1,549.67 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2020, $975.17 ,https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2020," $1,502.56 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2020, $831.10 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2020," $1,379.77 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2020," $1,543.27 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2020," $1,538.17 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2020," $1,480.04 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2020," $1,093.09 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2020," $2,168.56 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2020," $1,985.02 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2020," $1,415.85 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2020," $1,614.99 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2020," $1,068.76 ",https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2020," $1,203.83 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2020," $1,910.90 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2020," $2,446.96 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2020," $1,525.50 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2020," $2,461.20 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2020," $1,058.04 ",https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2020," $1,551.91 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2020," $1,342.11 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2020," $1,211.20 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2020," $1,117.53 ",https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2020," $1,014.88 ",https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2020," $1,023.54 ",https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2020," $1,439.71 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2020," $1,486.55 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2020," $1,332.62 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2020," $2,651.08 ",https://www.zillow.com/research/data/
1,New York,NY,New York,1/1/2021," $2,883.35 ",https://www.zillow.com/research/data/
2,California,CA,Los Angeles,1/1/2021," $2,593.15 ",https://www.zillow.com/research/data/
3,Illinois,IL,Chicago,1/1/2021," $1,811.46 ",https://www.zillow.com/research/data/
4,Texas,TX,Houston,1/1/2021," $1,455.60 ",https://www.zillow.com/research/data/
5,Arizona,AZ,Phoenix,1/1/2021," $1,566.56 ",https://www.zillow.com/research/data/
6,Pennsylvania,PA,Philadelphia,1/1/2021," $1,565.00 ",https://www.zillow.com/research/data/
7,Texas,TX,San Antonio,1/1/2021," $1,315.12 ",https://www.zillow.com/research/data/
8,California,CA,San Diego,1/1/2021," $2,678.42 ",https://www.zillow.com/research/data/
9,Texas,TX,Dallas,1/1/2021," $1,602.18 ",https://www.zillow.com/research/data/
10,California,CA,San Jose,1/1/2021," $2,867.86 ",https://www.zillow.com/research/data/
11,Texas,TX,Austin,1/1/2021," $1,668.50 ",https://www.zillow.com/research/data/
12,Florida,FL,Jacksonville,1/1/2021," $1,460.64 ",https://www.zillow.com/research/data/
13,Texas,TX,Fort Worth,1/1/2021," $1,529.83 ",https://www.zillow.com/research/data/
14,Ohio,OH,Columbus,1/1/2021," $1,266.34 ",https://www.zillow.com/research/data/
15,Indiana,IN,Indianapolis,1/1/2021," $1,169.83 ",https://www.zillow.com/research/data/
16,North Carolina,NC,Charlotte,1/1/2021," $1,567.08 ",https://www.zillow.com/research/data/
17,California,CA,San Francisco,1/1/2021," $3,438.97 ",https://www.zillow.com/research/data/
18,Washington,WA,Seattle,1/1/2021," $2,107.42 ",https://www.zillow.com/research/data/
19,Colorado,CO,Denver,1/1/2021," $1,833.27 ",https://www.zillow.com/research/data/
20,Oklahoma,OK,Oklahoma City,1/1/2021," $1,136.44 ",https://www.zillow.com/research/data/
21,Tennessee,TN,Nashville,1/1/2021," $1,601.65 ",https://www.zillow.com/research/data/
22,Texas,TX,El Paso,1/1/2021," $1,251.18 ",https://www.zillow.com/research/data/
23,District of Columbia,DC,Washington,1/1/2021," $2,296.78 ",https://www.zillow.com/research/data/
24,Massachusetts,MA,Boston,1/1/2021," $2,672.18 ",https://www.zillow.com/research/data/
25,Nevada,NV,Las Vegas,1/1/2021," $1,637.04 ",https://www.zillow.com/research/data/
26,Oregon,OR,Portland,1/1/2021," $1,718.13 ",https://www.zillow.com/research/data/
27,Michigan,MI,Detroit,1/1/2021," $1,162.09 ",https://www.zillow.com/research/data/
28,Kentucky,KY,Louisville,1/1/2021," $1,140.13 ",https://www.zillow.com/research/data/
29,Tennessee,TN,Memphis,1/1/2021," $1,180.09 ",https://www.zillow.com/research/data/
30,Maryland,MD,Baltimore,1/1/2021," $1,534.50 ",https://www.zillow.com/research/data/
31,Wisconsin,WI,Milwaukee,1/1/2021," $1,117.44 ",https://www.zillow.com/research/data/
32,New Mexico,NM,Albuquerque,1/1/2021," $1,344.09 ",https://www.zillow.com/research/data/
33,California,CA,Fresno,1/1/2021," $1,790.81 ",https://www.zillow.com/research/data/
34,Arizona,AZ,Tucson,1/1/2021," $1,357.93 ",https://www.zillow.com/research/data/
35,California,CA,Sacramento,1/1/2021," $1,939.13 ",https://www.zillow.com/research/data/
36,Arizona,AZ,Mesa,1/1/2021," $1,571.19 ",https://www.zillow.com/research/data/
37,Missouri,MO,Kansas City,1/1/2021," $1,162.59 ",https://www.zillow.com/research/data/
38,Georgia,GA,Atlanta,1/1/2021," $1,828.69 ",https://www.zillow.com/research/data/
39,Nebraska,NE,Omaha,1/1/2021," $1,153.59 ",https://www.zillow.com/research/data/
40,Colorado,CO,Colorado Springs,1/1/2021," $1,705.34 ",https://www.zillow.com/research/data/
41,North Carolina,NC,Raleigh,1/1/2021," $1,489.47 ",https://www.zillow.com/research/data/
42,Virginia,VA,Virginia Beach,1/1/2021," $1,672.18 ",https://www.zillow.com/research/data/
43,California,CA,Long Beach,1/1/2021," $2,068.09 ",https://www.zillow.com/research/data/
44,Florida,FL,Miami,1/1/2021," $2,557.00 ",https://www.zillow.com/research/data/
45,California,CA,Oakland,1/1/2021," $2,691.67 ",https://www.zillow.com/research/data/
46,Minnesota,MN,Minneapolis,1/1/2021," $1,564.54 ",https://www.zillow.com/research/data/
47,Oklahoma,OK,Tulsa,1/1/2021," $1,083.61 ",https://www.zillow.com/research/data/
48,California,CA,Bakersfield,1/1/2021," $1,722.50 ",https://www.zillow.com/research/data/
49,Kansas,KS,Wichita,1/1/2021, $901.72 ,https://www.zillow.com/research/data/
50,Texas,TX,Arlington,1/1/2021," $1,563.22 ",https://www.zillow.com/research/data/
51,Colorado,CO,Aurora,1/1/2021," $1,675.75 ",https://www.zillow.com/research/data/
52,Florida,FL,Tampa,1/1/2021," $1,751.49 ",https://www.zillow.com/research/data/
53,Louisiana,LA,New Orleans,1/1/2021," $1,550.59 ",https://www.zillow.com/research/data/
54,Ohio,OH,Cleveland,1/1/2021," $1,164.58 ",https://www.zillow.com/research/data/
55,California,CA,Anaheim,1/1/2021," $2,323.46 ",https://www.zillow.com/research/data/
56,Hawaii,HI,Honolulu,1/1/2021," $2,108.72 ",https://www.zillow.com/research/data/
57,Nevada,NV,Henderson,1/1/2021," $1,726.83 ",https://www.zillow.com/research/data/
58,California,CA,Stockton,1/1/2021," $2,040.13 ",https://www.zillow.com/research/data/
59,Kentucky,KY,Lexington,1/1/2021," $1,166.20 ",https://www.zillow.com/research/data/
60,Texas,TX,Corpus Christi,1/1/2021," $1,326.55 ",https://www.zillow.com/research/data/
61,California,CA,Riverside,1/1/2021," $2,252.68 ",https://www.zillow.com/research/data/
62,California,CA,Santa Ana,1/1/2021," $2,631.78 ",https://www.zillow.com/research/data/
63,Florida,FL,Orlando,1/1/2021," $1,698.81 ",https://www.zillow.com/research/data/
64,California,CA,Irvine,1/1/2021," $2,733.98 ",https://www.zillow.com/research/data/
65,Ohio,OH,Cincinnati,1/1/2021," $1,130.86 ",https://www.zillow.com/research/data/
66,New Jersey,NJ,Newark,1/1/2021," $1,668.32 ",https://www.zillow.com/research/data/
67,Minnesota,MN,Saint Paul,1/1/2021," $1,393.24 ",https://www.zillow.com/research/data/
68,Pennsylvania,PA,Pittsburgh,1/1/2021," $1,279.23 ",https://www.zillow.com/research/data/
69,North Carolina,NC,Greensboro,1/1/2021," $1,236.94 ",https://www.zillow.com/research/data/
70,Missouri,MO,Saint Louis,1/1/2021," $1,062.50 ",https://www.zillow.com/research/data/
71,Nebraska,NE,Lincoln,1/1/2021," $1,096.05 ",https://www.zillow.com/research/data/
72,Texas,TX,Plano,1/1/2021," $1,591.85 ",https://www.zillow.com/research/data/
73,Alaska,AK,Anchorage,1/1/2021," $1,596.23 ",https://www.zillow.com/research/data/
74,North Carolina,NC,Durham,1/1/2021," $1,478.53 ",https://www.zillow.com/research/data/
75,New Jersey,NJ,Jersey City,1/1/2021," $2,644.10 ",https://www.zillow.com/research/data/
